"","sa1"
"36809",422
"83262",171
"1520670",69
"404941",57
"1578165",21
"1073531",178
"3064287",106
"3064288",82
"1788",93
"1118379",80
"512402",72
"29314",59
"1795032",57
"875328",10
"2126281",13
"1069220",351
"1069221",153
"1716",2249
"61592",990
"3062461",76
"3081222",59
"3017361",57
"3059081",31
"3059080",24
"2778078",14
"3074378",5
"702967",3
"2989735",3
"2599641",2
"3059082",1
"2675216",578
"152794",478
"2684406",447
"38304",424
"2080740",420
"1408191",392
"1717",383
"39791",353
"1718",324
"156976",323
"71254",295
"38284",293
"1737425",281
"2675218",257
"2883169",239
"35755",219
"43769",211
"2506452",197
"2709394",190
"191610",176
"1032851",176
"1231000",176
"575200",176
"1705",176
"43770",175
"187491",173
"2041036",169
"99807",163
"1414719",162
"53374",157
"38286",149
"2675219",145
"2488819",144
"1719",141
"161879",133
"1652495",133
"598660",129
"161899",124
"571915",124
"191493",121
"349751",120
"1404244",119
"1223514",118
"394964",116
"65058",116
"679663",114
"322009",113
"43771",111
"1050174",108
"1072256",106
"1725",105
"225326",102
"2055947",101
"134034",101
"161896",101
"38301",99
"1724",99
"36808",98
"169292",94
