,kraken2_report
377615,813.0
2583377,607.0
90964,1452.0
1279,3756.0
283734,1600.0
53344,140.0
1280,1716.0
2929481,292.0
1912064,82.0
2583989,54.0
2813777,10.0
2799680,2.0
678600,1.0
46127,721.0
29382,647.0
33028,607.0
29385,576.0
2282419,551.0
1282,425.0
29388,417.0
1283,397.0
1288,380.0
3051183,346.0
70258,343.0
2892440,329.0
2044912,324.0
155085,308.0
46126,297.0
1290,293.0
1284,280.0
1286,273.0
586733,251.0
1955013,220.0
29378,206.0
522262,201.0
29384,199.0
214473,172.0
308354,169.0
2781774,166.0
1281,135.0
74706,132.0
28035,125.0
201828,119.0
2912228,119.0
1292,96.0
45972,94.0
61015,86.0
1293,83.0
170573,53.0
70255,53.0
1295,51.0
29379,48.0
246432,46.0
29380,45.0
985762,38.0
1294,22.0
985002,15.0
1654388,7.0
2803850,9.0
1296,1540.0
42858,604.0
71237,359.0
643214,292.0
3034233,158.0
2962659,123.0
69965,7.0
69968,658.0
2875764,447.0
69967,229.0
198483,116.0
1902580,89.0
1898474,3.0
3076173,5.0
1855823,993.0
69966,240.0
1903056,26.0
227979,7.0
2708346,371.0
946435,306.0
1461582,167.0
3136731,422.0
407035,383.0
489909,46.0
489910,455.0
1232430,175.0
186818,292.0
1569,797.0
3020056,684.0
2921556,682.0
2921557,575.0
2810514,574.0
3056445,565.0
2942204,487.0
2818390,419.0
2921554,412.0
2954701,389.0
2283194,271.0
1930764,228.0
3056444,156.0
2762563,49.0
1930546,38.0
2921555,4.0
1571,1313.0
298596,395.0
633404,237.0
1474,227.0
1476,6.0
1372,708.0
2908840,511.0
1526927,463.0
3058394,407.0
2058136,345.0
3058393,320.0
3058398,151.0
2213202,934.0
192421,790.0
2233542,738.0
1499687,528.0
1215089,364.0
1038856,352.0
414778,312.0
459472,298.0
161360,203.0
200991,168.0
1302659,108.0
1598147,46.0
1374,4.0
648800,598.0
2921653,530.0
2048654,508.0
2954511,311.0
2921713,304.0
2921707,100.0
2921474,62.0
2921639,34.0
2912187,634.0
76853,40.0
160795,326.0
2954684,336.0
2954607,25.0
2954681,15.0
2954593,5.0
367743,259.0
51173,20.0
2921401,542.0
417367,253.0
2320858,50.0
1649,209.0
1750719,238.0
3049086,2.0
1650,219.0
33946,1.0
2921416,88.0
2921431,7.0
2779527,294.0
2921704,218.0
648802,107.0
2939494,51.0
241244,21.0
426756,9.0
1637,694.0
1642,1299.0
1639,1202.0
1497681,664.0
1638,580.0
1643,480.0
1640,478.0
1641,327.0
1844999,283.0
1006155,206.0
2756,178.0
1274351,1.0
714067,866.0
1380685,374.0
1125966,749.0
37482,521.0
2026,506.0
2490858,448.0
1471761,301.0
186823,7.0
29330,3.0
2796143,455.0
2606450,438.0
2665646,62.0
405212,516.0
392011,252.0
1475485,148.0
1450,147.0
2931921,136.0
1457,99.0
2743772,523.0
432330,58.0
1903704,319.0
1214604,135.0
1129704,63.0
2055160,208.0
33943,62.0
1378,34.0
84135,1169.0
2840371,331.0
2040624,171.0
1785995,17.0
1379,783.0
29391,153.0
33986,438.0
2051906,165.0
3112419,119.0
2735868,107.0
360911,70.0
1399115,40.0
2829816,10.0
1224749,5.0
332410,471.0
307643,243.0
132920,190.0
1428684,143.0
41170,129.0
340146,87.0
273528,43.0
33987,36.0
2866627,112.0
269673,506.0
3028315,400.0
1817405,13.0
